x,y,TOAPE,TOHO,MURD,ATMU,COMU,MSLT,DRCD,TOAS,SEAS,OTAS,TOSO,RAAR,OTSO,TORO,ARRO,UNRO,EXTO,KAAE,OFAP,TOAPR,TOUE,UEWID,UEWTVD,UEWVD,UEWIS,UEWIO,ARSO,OTPD,MOVT,OTTH,STFD,SHST,STST,OTST,TOFR,FBCH,FBCC,OTFR,THSG,PPSS,RESP,PETP,OHSG,TOOO,DROF,PROF,LIDR,GAOF,TRAV,GOOO,TARD,MIOF
153.252,27.6742,110,5,0,5,0,0,0,46,30,16,27,0,27,14,3,11,0,0,18,1534,331,239,237,2,25,67,1,294,172,606,17,78,0,511,130,21,8,101,0,0,0,0,0,17,0,0,0,0,3,7,1,6
153.1,27.4886,121,0,0,0,0,0,0,37,27,10,57,4,53,17,13,4,0,5,5,1066,455,387,383,4,22,46,0,172,85,295,29,26,0,240,59,10,6,43,0,0,0,0,0,15,0,0,0,0,2,3,1,9
153.087,27.5081,18,0,0,0,0,0,0,6,4,2,2,1,1,4,2,2,0,5,1,294,122,20,20,0,20,82,0,53,26,74,2,4,0,68,19,4,5,10,0,0,0,0,0,3,0,0,0,0,2,0,0,1
153.111,27.5094,297,0,0,0,0,0,0,217,97,120,16,7,9,50,19,31,1,1,12,2356,272,44,44,0,53,175,1,452,151,943,15,45,0,883,535,59,104,372,2,0,0,2,0,78,3,0,3,0,7,57,0,8
152.928,27.6229,8,0,0,0,0,0,0,5,2,3,2,0,2,1,0,1,0,0,0,190,31,23,23,0,0,8,1,39,34,83,1,0,0,82,2,0,1,1,0,0,0,0,0,2,0,0,0,0,0,1,0,1
153.369,28.0223,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,18,5,5,5,0,0,0,1,4,1,7,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
153.017,27.3496,96,26,0,26,0,0,0,22,20,2,37,1,36,3,2,1,0,1,7,469,271,248,246,2,1,22,7,73,13,95,20,2,0,73,10,0,7,3,0,0,0,0,0,9,0,0,0,0,1,4,1,3
152.902,27.2967,47,0,0,0,0,0,0,18,10,8,8,0,8,10,8,2,0,1,10,633,255,193,190,3,10,52,0,99,44,193,26,1,0,166,42,4,29,9,0,0,0,0,0,15,0,0,0,0,4,7,0,4
153.197,27.849,135,0,0,0,0,0,0,81,55,26,19,1,18,19,7,12,0,3,13,1634,354,234,233,1,49,71,3,205,91,736,28,266,0,442,245,27,57,161,0,0,0,0,0,24,0,0,0,0,5,15,0,4
152.982,27.8584,40,0,0,0,0,0,0,22,12,10,5,0,5,6,2,4,0,1,6,449,153,116,113,3,4,33,1,78,35,141,15,1,0,125,41,12,17,12,0,0,0,0,0,6,0,0,0,0,3,2,1,0
153.014,27.8814,20,0,0,0,0,0,0,11,4,7,3,0,3,1,0,1,0,1,4,327,147,130,130,0,4,13,1,65,26,77,11,0,0,66,11,4,4,3,0,0,0,0,0,7,0,0,0,0,2,3,0,2
153.072,27.7485,6,1,0,1,0,0,0,2,2,0,1,0,1,2,2,0,0,0,0,261,170,159,158,1,0,11,0,37,14,39,5,1,0,33,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
153.16,27.5177,56,0,0,0,0,0,0,28,19,9,5,1,4,9,3,6,0,0,14,423,138,97,96,1,9,32,0,80,27,129,16,0,0,113,49,9,17,23,0,0,0,0,0,14,0,0,0,0,2,7,0,5
152.947,27.501,11,0,0,0,0,0,0,4,4,0,5,1,4,0,0,0,0,0,2,227,117,103,103,0,5,9,0,29,12,63,12,0,0,51,6,1,1,4,0,0,0,0,0,4,0,0,0,0,2,2,0,0
152.977,27.5141,57,0,0,0,0,0,0,37,16,21,6,1,5,7,4,3,0,1,6,613,123,72,71,1,19,32,5,103,18,203,11,30,0,162,161,14,12,135,0,0,0,0,0,29,0,0,0,0,3,23,0,3
